,meanings english sense,kun readings,on readings,info clearfix,names,level,grade,kun names,on names
本,"book, present, main, origin, true, real, counter for long cylindrical things",Kun: もと,On: ホン,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Yurihonjō', 'Nihonmatsu', 'Motomiya', 'Motosu', 'Sumoto', 'Kumamoto', 'Matsumoto', 'Kitamoto', 'Honjō', 'Hashimoto']",5,1,['moto'],['hon']
八,"eight, eight radical (no. 12)",Kun: や、 や.つ、 やっ.つ、 よう,On: ハチ、 ハツ,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Hachinohe', 'Yachiyo', 'Yachimata', 'Yawatahama', 'Yame', 'Hachimantai', 'Yatsushiro', 'Yawata', 'Yao', 'Yashio', 'Ōmihachiman', 'Hachiōji']",5,1,"['ya', 'yatsu', 'yutsu', 'you']","['hachi', 'hatu']"
十,ten,Kun: とお、 と、 そ,On: ジュウ、 ジッ、 ジュッ,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Towada', 'Shimanto', 'Tōkamachi']",5,1,"['too', 'to', 'so']","['juu', 'ju', 'ju']"
五,five,Kun: いつ、 いつ.つ,On: ゴ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Goshogawara', 'Gotō', 'Gojō', 'Gosen']",5,1,"['itsu', 'itsutu']",['go']
千,thousand,Kun: ち,On: セン,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Chiba', 'Yachiyo', 'Chitose', 'Chikuma', 'Ojiya', 'Chiyoda']",5,1,['ti'],['sen']
子,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",Kun: こ、 -こ、 ね,On: シ、 ス、 ツ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Chōshi', 'Abiko', 'Zushi', 'Hachiōji', 'Yonago']",5,1,"['ko', 'ko', 'ne']","['shi', 'su', 'tu']"
木,"tree, wood",Kun: き、 こ-,On: ボク、 モク,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Kisarazu', 'Miki', 'Ichikikushikino', 'Atsugi', 'Kizugawa', 'Ibaraki', 'Shiki', 'Tochigi']",5,1,"['ki', 'ko']","['boku', 'moku']"
金,gold,Kun: かね、 かな-、 -がね,On: キン、 コン、 ゴン,"8 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Tōgane', 'Kanazawa', 'Koganei']",5,1,"['kane', 'kana', 'gane']","['kin', 'kon', 'gon']"
四,four,Kun: よ、 よ.つ、 よっ.つ、 よん,On: シ,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Yotsukaidō', 'Shikokuchūō', 'Shimanto', 'Yokkaichi', 'Shijōnawate']",5,1,"['yo', 'yotsu', 'yutsu', 'yon']",['si']
白,white,Kun: しろ、 しら-、 しろ.い,On: ハク、 ビャク,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Shiroi', 'Ōamishirasato', 'Shirakawa', 'Hakusan', 'Shiroishi', 'Shiraoka']",5,1,"['shiro', 'shira', 'shiroi']","['haku', 'baku']"
中,"in, inside, middle, mean, center",Kun: なか、 うち、 あた.る,On: チュウ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Shikokuchūō', 'Nakama', 'Nakatsugawa', 'Annaka', 'Fuchū', 'Nakano', 'Nakatsu', 'Toyonaka', 'Chūō']",5,1,"['naka', 'uchi', 'ataru']",['cfuu']
女,"woman, female",Kun: おんな、 め,On: ジョ、 ニョ、 ニョウ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Yame'],5,1,"['onna', 'me']","['jo', 'no', 'nou']"
九,nine,Kun: ここの、 ここの.つ,On: キュウ、 ク,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Kitakyushu', 'Minamikyūshū']",5,1,"['kokono', 'kokonotu']","['kuu', 'ku']"
二,"two, two radical (no. 7)",Kun: ふた、 ふた.つ、 ふたたび,On: ニ、 ジ,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Nihonmatsu', 'Ninohe']",5,1,"['futa', 'futatsu', 'futatabi']","['ni', 'zi']"
見,"see, hopes, chances, idea, opinion, look at, visible",Kun: み.る、 み.える、 み.せる,On: ケン,"7 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Tajimi', 'Iwamizawa', 'Kitami', 'Mitsuke', 'Tsukumi', 'Niimi', 'Tomigusuku', 'Fujimi', 'Himi']",5,1,"['miru', 'mieru', 'miseru']",['ken']
土,"soil, earth, ground, Turkey",Kun: つち,On: ド、 ト,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Toki', 'Tsuchiura', 'Tosashimizu', 'Tosa', 'Uto']",5,1,['tsuti'],"['do', 'to']"
下,"below, down, descend, give, low, inferior",Kun: した、 しも、 もと、 さ.げる、 さ.がる、 くだ.る、 くだ.り、 くだ.す、 -くだ.す、 くだ.さる、 お.ろす、 お.りる,On: カ、 ゲ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Gero', 'Shimotsuma', 'Shimoda', 'Shimotsuke', 'Kudamatsu', 'Shimonoseki']",5,1,"['shita', 'shimo', 'moto', 'sageru', 'sagaru', 'kudaru', 'kudari', 'kudasu', 'kudasu', 'kudasaru', 'orosu', 'oriru']","['ka', 'ge']"
生,"life, genuine, birth",Kun: い.きる、 い.かす、 い.ける、 う.まれる、 うま.れる、 う.まれ、 うまれ、 う.む、 お.う、 は.える、 は.やす、 き、 なま、 なま-、 な.る、 な.す、 む.す、 -う,On: セイ、 ショウ,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Kiryū', 'Aioi', 'Ikoma', 'Hanyū', 'Fussa']",5,1,"['ikiru', 'ikasu', 'ikeru', 'umareru', 'umareru', 'umare', 'umare', 'umu', 'ou', 'haeru', 'hayasu', 'ki', 'nama', 'nama', 'naru', 'nasu', 'musu', 'u']","['sei', 'shou']"
水,water,Kun: みず、 みず-,On: スイ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Mito', 'Tarumizu', 'Tosashimizu', 'Minamata', 'Imizu']",5,1,"['mizu', 'mizu']",['sui']
七,seven,Kun: なな、 なな.つ、 なの,On: シチ,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Nanao'],5,1,"['nana', 'nanatsu', 'nano']",['shiti']
出,"exit, leave, go out, come out, put out, protrude",Kun: で.る、 -で、 だ.す、 -だ.す、 い.でる、 い.だす,On: シュツ、 スイ,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Sakaide', 'Izumo', 'Iwade']",5,1,"['deru', 'de', 'dasu', 'dasu', 'ideru', 'idasu']","['sfutsu', 'sui']"
人,person,Kun: ひと、 -り、 -と,On: ジン、 ニン,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Hitoyoshi'],5,1,"['hito', 'ri', 'to']","['jin', 'nin']"
天,"heavens, sky, imperial",Kun: あまつ、 あめ、 あま-,On: テン,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Kami-Amakusa', 'Amakusa', 'Tenri', 'Tendō']",5,1,"['amatsu', 'ame', 'ama']",['ten']
気,"spirit, mind, air, atmosphere, mood",Kun: き,On: キ、 ケ,"6 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Kesennuma'],5,1,['ki'],"['ki', 'ke']"
入,"enter, insert",Kun: い.る、 -い.る、 -い.り、 い.れる、 -い.れ、 はい.る,On: ニュウ、 ジュ,"2 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Iruma'],5,1,"['iru', 'iru', 'iri', 'ireru', 'ire', 'hairu']","['nuu', 'ju']"
月,"month, moon",Kun: つき,On: ゲツ、 ガツ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Ōtsuki'],5,1,['tsuki'],"['getsu', 'gatu']"
半,"half, middle, odd number, semi-, part-",Kun: なか.ば,On: ハン,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.",['Handa'],5,2,['nakaba'],['han']
南,south,Kun: みなみ,On: ナン、 ナ,"9 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Hekinan', 'Kōnan', 'Minamibōsō', 'Minamisōma', 'Minamiawaji', 'Minamisatsuma', 'Minamikyūshū', 'Minamiashigara', 'Nankoku', 'Nantan', 'Nichinan', 'Minamishimabara', 'Minamiuonuma', 'Nanjō', 'Sennan', 'Hannan', 'Konan', 'Unnan', 'Anan', 'Nanto', 'Kainan', ""Nan'yō"", 'Shūnan', 'Minami-Alps']",5,2,['minami'],"['nan', 'na']"
西,"west, Spain",Kun: にし,On: セイ、 サイ、 ス,"6 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Nishio', 'Aisai', 'Inzai', 'Seiyo', 'Saijō', 'Nishinomiya', 'Kawanishi', 'Kasai', 'Nishiwaki', 'Chikusei', 'Nishinoomote', 'Saito', 'Saikai', 'Kosai', 'Nishitōkyō']",5,2,['nisi'],"['sei', 'sai', 'su']"
東,east,Kun: ひがし,On: トウ,"8 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Tōkai', 'Tōgane', 'Tōon', 'Higashihiroshima', 'Katō', 'Bandō', 'Higashikagawa', 'Higashimatsushima', 'Tōmi', 'Kunisaki', 'Daitō', 'Higashiōsaka', 'Higashimatsuyama', 'Rittō', 'Higashiōmi', 'Itō', 'Higashimurayama', 'Higashiyamato', 'Higashikurume', 'Nishitōkyō', 'Tokyo', 'Kōtō', 'Taitō', 'Higashine']",5,2,['higasi'],['tou']
高,"tall, high, expensive",Kun: たか.い、 たか、 -だか、 たか.まる、 たか.める,On: コウ,"10 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Takahama', 'Takayama', 'Takasaki', 'Akitakata', 'Takasago', 'Takahagi', 'Rikuzentakata', 'Takamatsu', 'Kōchi', 'Yamatotakada', 'Myōkō', 'Bungotakada', 'Takahashi', 'Takatsuki', 'Takaishi', 'Hidaka', 'Takashima', 'Takaoka']",5,2,"['takai', 'taka', 'daka', 'takamaru', 'takameru']",['kou']
北,north,Kun: きた,On: ホク,"5 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Kitanagoya', 'Kitaakita', 'Semboku', 'Kitakyushu', 'Kitahiroshima', 'Hokuto', 'Kitami', 'Kitaibaraki', 'Kitakami', 'Kitamoto', 'Kita']",5,2,['kita'],['hoku']
長,"long, leader, superior, senior",Kun: なが.い、 おさ,On: チョウ,"8 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Nagakute', 'Nagaokakyō', 'Nagano', 'Nagasaki', 'Nagaoka', 'Kawachinagano', 'Nagahama', 'Nagai', 'Nagato']",5,2,"['nagai', 'osa']",['chou']
前,"in front, before",Kun: まえ、 -まえ,On: ゼン,"9 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Hirosaki', 'Echizen', 'Buzen', 'Maebashi', 'Rikuzentakata', 'Bizen', 'Omaezaki']",5,2,"['mae', 'mae']",['zen']
国,country,Kun: くに,On: コク,"8 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Shikokuchūō', 'Nankoku', 'Kunisaki', 'Izunokuni', 'Kokubunji', 'Kunitachi', 'Iwakuni']",5,2,['kuni'],['koku']
今,now,Kun: いま,On: コン、 キン,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.",['Imabari'],5,2,['ima'],"['kon', 'kin']"
後,"behind, back, later",Kun: のち、 うし.ろ、 うしろ、 あと、 おく.れる,On: ゴ、 コウ,"9 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Chikugo', 'Kyōtango', 'Bungotakada', 'Bungo-Ōno']",5,2,"['nochi', 'ushiro', 'ushiro', 'ato', 'okureru']","['go', 'kou']"
行,"going, journey, carry out, conduct, act, line, row, bank",Kun: い.く、 ゆ.く、 -ゆ.き、 -ゆき、 -い.き、 -いき、 おこな.う、 おこ.なう,On: コウ、 ギョウ、 アン,"6 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Yukuhashi', 'Namegata', 'Gyōda']",5,2,"['iku', 'yuku', 'yuki', 'yuki', 'iki', 'iki', 'okonau', 'okonau']","['kou', 'gou', 'an']"
間,"interval, space",Kun: あいだ、 ま、 あい,On: カン、 ケン,"12 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Nakama', 'Kasama', 'Zama', 'Kushima', 'Iruma']",5,2,"['aida', 'ma', 'ai']","['kan', 'ken']"
父,father,Kun: ちち,On: フ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Yabu', 'Chichibu']",5,2,['chiti'],['hu']
来,"come, due, next, cause, become",Kun: く.る、 きた.る、 きた.す、 き.たす、 き.たる、 き、 こ,On: ライ、 タイ,"7 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Asago', 'Itako', 'Yasugi']",5,2,"['kuru', 'kitaru', 'kitasu', 'kitasu', 'kitaru', 'ki', 'ko']","['rai', 'tai']"
万,"ten thousand, 10,000",Kun: よろず,On: マン、 バン,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 2.","['Shimanto', 'Imari']",5,2,['yorozu'],"['man', 'ban']"
田,"rice field, rice paddy",Kun: た,On: デン,"5 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Handa', 'Toyota', 'Tahara', 'Akita', 'Kitaakita', 'Towada', 'Noda', 'Narita', 'Ōmuta', 'Tagawa', 'Tamura', 'Ōta', 'Numata', 'Akitakata', 'Etajima', 'Sanda', 'Hitachiōta', 'Hokota', 'Rikuzentakata', 'Odawara', 'Kyōtanabe', 'Kakuda', 'Iida', 'Ueda', 'Yamatotakada', 'Shibata', 'Hita', 'Taketa', 'Bungotakada', 'Kishiwada', 'Ikeda', 'Suita', 'Tondabayashi', 'Gyōda', 'Toda', 'Hasuda', 'Masuda', 'Hamada', 'Ōda', 'Shimada', 'Iwata', 'Shimoda', 'Ōtawara', 'Machida', 'Chiyoda', 'Setagaya', 'Sumida', 'Tanabe', 'Arida', 'Sakata', ""San'yō-Onoda"", 'Fujiyoshida']",4,1,['ta'],['den']
犬,dog,Kun: いぬ、 いぬ-,On: ケン,"4 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.",['Inuyama'],4,1,"['inu', 'inu']",['ken']
立,"stand up, rise, set up, erect",Kun: た.つ、 -た.つ、 た.ち-、 た.てる、 -た.てる、 た.て-、 たて-、 -た.て、 -だ.て、 -だ.てる,On: リツ、 リュウ、 リットル,"5 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Chiryū', 'Hitachi', 'Tachikawa', 'Kunitachi', 'Adachi']",4,1,"['tatsu', 'tatsu', 'tachi', 'tateru', 'tateru', 'tate', 'tate', 'tate', 'date', 'dateru']","['ritsu', 'ruu', 'rutoru']"
手,hand,Kun: て、 て-、 -て、 た-,On: シュ、 ズ,"4 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Nagakute', 'Yokote', 'Toride', 'Satte']",4,1,"['te', 'te', 'te', 'ta']","['sfu', 'zu']"
青,"blue, green",Kun: あお、 あお-、 あお.い,On: セイ、 ショウ,"8 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Aomori', 'Ōme']",4,1,"['ao', 'ao', 'aoi']","['sei', 'shou']"
夕,evening,Kun: ゆう,On: セキ,"3 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.",['Yūbari'],4,1,['yuu'],['seki']
赤,red,Kun: あか、 あか-、 あか.い、 あか.らむ、 あか.らめる,On: セキ、 シャク,"7 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Akabira', 'Akō', 'Akaiwa']",4,1,"['aka', 'aka', 'akai', 'akaramu', 'akarameru']","['seki', 'shaku']"
花,flower,Kun: はな,On: カ、 ケ,"7 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Hanamaki', 'Obanazawa']",4,1,['hana'],"['ka', 'ke']"
音,"sound, noise",Kun: おと、 ね,On: オン、 イン、 -ノン,"9 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","[""Kan'onji""]",4,1,"['oto', 'ne']","['on', 'in', 'non']"
足,"leg, foot, be sufficient, counter for pairs of footwear",Kun: あし、 た.りる、 た.る、 た.す,On: ソク,"7 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Minamiashigara', 'Ashikaga', 'Adachi']",4,1,"['ashi', 'tariru', 'taru', 'tasu']",['soku']
町,"town, village, block, street",Kun: まち,On: チョウ,"7 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Ōmachi', 'Tōkamachi', 'Machida']",4,1,['mati'],['chou']
早,"early, fast",Kun: はや.い、 はや、 はや-、 はや.まる、 はや.める、 さ-,On: ソウ、 サッ,"6 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.",['Isahaya'],4,1,"['hayai', 'haya', 'haya', 'hayamaru', 'hayameru', 'sa']","['sou', 'su']"
口,mouth,Kun: くち,On: コウ、 ク,"3 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.","['Asakuchi', 'Moriguchi', 'Kawaguchi', 'Yamaguchi']",4,1,['kuti'],"['kou', 'ku']"
文,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)",Kun: ふみ、 あや,On: ブン、 モン,"4 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.",['Bunkyō'],4,1,"['fumi', 'aya']","['bun', 'mon']"
目,"eye, class, look, insight, experience, care, favor",Kun: め、 -め、 ま-,On: モク、 ボク,"5 strokes.  JLPT N4.  Jōyō kanji, taught in grade 1.",['Meguro'],4,1,"['me', 'me', 'ma']","['moku', 'boku']"
古,old,Kun: ふる.い、 ふる-、 -ふる.す,On: コ,"5 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Nagoya', 'Kitanagoya', 'Koga', 'Kakogawa', 'Miyako', 'Miyakojima']",4,2,"['furui', 'furu', 'furusu']",['ko']
春,"springtime, spring (season)",Kun: はる,On: シュン,"9 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Kasugai', 'Kasuga', 'Kasukabe']",4,2,['haru'],['sfun']
海,"sea, ocean",Kun: うみ,On: カイ,"9 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Tōkai', 'Kaizu', 'Ebina', 'Saikai', 'Atami', 'Kainan']",4,2,['umi'],['kai']
知,"know, wisdom",Kun: し.る、 し.らせる,On: チ,"8 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Chita', 'Chiryū', 'Kōchi', 'Fukuchiyama']",4,2,"['shiru', 'shiraseru']",['ti']
多,"many, frequent, much",Kun: おお.い、 まさ.に、 まさ.る,On: タ,"6 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Chita', 'Kitakata', 'Tajimi', 'Tagajō', 'Taku', 'Tama']",4,2,"['ooi', 'masani', 'masaru']",['ta']
明,"bright, light",Kun: あ.かり、 あか.るい、 あか.るむ、 あか.らむ、 あき.らか、 あ.ける、 -あ.け、 あ.く、 あ.くる、 あ.かす,On: メイ、 ミョウ、 ミン,"8 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Toyoake', 'Akashi']",4,2,"['akari', 'akarui', 'akarumu', 'akaramu', 'akiraka', 'akeru', 'ake', 'aku', 'akuru', 'akasu']","['mei', 'mou', 'min']"
新,new,Kun: あたら.しい、 あら.た、 あら-、 にい-,On: シン,"13 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Shinshiro', 'Niihama', 'Niigata', 'Shibata', 'Niimi', 'Niiza', 'Shinjuku', 'Shingū', 'Shinjō']",4,2,"['atarashii', 'arata', 'ara', 'nii']",['shin']
秋,autumn,Kun: あき、 とき,On: シュウ,"9 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Akita', 'Kitaakita']",4,2,"['aki', 'toki']",['sfuu']
黒,black,Kun: くろ、 くろ.ずむ、 くろ.い,On: コク,"11 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Kuroishi', 'Meguro', 'Kurobe']",4,2,"['kuro', 'kurozumu', 'kuroi']",['koku']
野,"plains, field, rustic, civilian life",Kun: の、 の-,On: ヤ、 ショ,"11 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Noda', 'Narashino', 'Ōno', 'Chikushino', 'Ōnojō', 'Furano', 'Ono', 'Nonoichi', 'Tōno', 'Ichikikushikino', 'Hadano', 'Kumano', 'Chino', 'Nagano', 'Nakano', 'Azumino', 'Agano', 'Bungo-Ōno', 'Tamano', 'Ginowan', 'Izumisano', 'Kawachinagano', 'Habikino', 'Katano', 'Ureshino', 'Fujimino', 'Yasu', 'Susono', 'Sano', 'Shimotsuke', 'Yoshinogawa', 'Musashino', 'Hino', 'Akiruno', ""San'yō-Onoda"", 'Uenohara']",4,2,"['no', 'no']","['ya', 'sho']"
道,"road-way, street, district, journey, course, moral, teachings",Kun: みち、 いう,On: ドウ、 トウ,"12 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Yotsukaidō', 'Onomichi']",4,2,"['michi', 'iu']","['dou', 'tou']"
方,"direction, person, alternative",Kun: かた、 -かた、 -がた,On: ホウ,"4 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Nōgata', 'Kitakata', 'Namegata', 'Hirakata']",4,2,"['kata', 'kata', 'gata']",['hou']
朝,"morning, dynasty, regime, epoch, period, (North) Korea",Kun: あさ,On: チョウ,"12 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Asakura', 'Asago', 'Asaka']",4,2,['asa'],['chou']
会,"meeting, meet, party, association, interview, join",Kun: あ.う、 あ.わせる、 あつ.まる,On: カイ、 エ,"6 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.",['Aizuwakamatsu'],4,2,"['au', 'awaseru', 'atsumaru']","['kai', 'e']"
広,"wide, broad, spacious",Kun: ひろ.い、 ひろ.まる、 ひろ.める、 ひろ.がる、 ひろ.げる,On: コウ,"5 strokes.  JLPT N4.  Jōyō kanji, taught in grade 2.","['Hiroshima', 'Higashihiroshima', 'Obihiro', 'Kitahiroshima']",4,2,"['hiroi', 'hiromaru', 'hiromeru', 'hirogaru', 'hirogeru']",['kou']
